### Metrics File V1.1
Metrics for HAVO3B1
Day: 07:00:00 to 18:59:59
Night: 19:00:00 to 06:59:59
Summer: May to Aug
Winter: Oct to Feb
Fall: Sep to Sep
Spring: Mar to Apr
Source of Interest: Aircraft
Truncated dBA (also referenced as dBT) Frequency Range: 20Hz to 1250Hz

Median dBA values by Hour, Winter (n = 206hrs)
Hr	Lmin	L099	L090	Lnat	L050	L010	L001	Lmax	Leq
16	28.9	27.3	26.6	24.8	23.5	23.2	22.6	22.2	21.3	21.0	20.2	18.3	16.4	13.5	10.0	08.5	06.8	05.7	05.3	04.8	03.7	02.9	03.2	03.9	04.5	05.3	06.2	06.6	07.4	08.2	08.1	08.2	07.2
17	27.2	25.8	25.1	24.2	23.6	22.4	21.2	21.2	21.1	19.8	18.1	16.5	13.9	10.7	07.5	06.3	06.4	07.1	07.3	06.3	04.4	03.2	03.2	04.0	04.5	05.2	06.1	06.5	07.3	08.1	08.0	08.1	07.1
18	33.9	32.8	30.3	28.4	27.1	26.3	26.1	26.2	26.3	25.6	24.5	23.0	20.9	20.4	18.5	18.0	17.5	15.7	14.4	13.2	10.2	07.7	06.0	04.9	04.8	05.3	06.1	06.4	07.3	08.1	07.9	08.1	07.1
19	29.5	27.7	26.9	26.4	26.3	25.7	25.3	24.8	24.0	23.4	22.9	22.0	20.3	19.0	18.9	19.4	19.1	17.5	16.6	15.1	11.9	09.8	07.8	06.2	05.5	05.6	06.2	06.5	07.3	08.1	07.9	08.1	07.2
20	29.8	28.1	26.8	26.2	26.1	25.4	24.4	23.7	22.8	22.1	21.2	20.6	19.7	18.4	17.8	18.2	18.0	16.3	15.5	13.7	10.4	08.3	06.5	05.3	05.0	05.4	06.2	06.5	07.3	08.1	08.0	08.1	07.3
21	27.1	25.6	24.4	23.4	22.8	22.4	22.2	22.1	21.7	21.1	20.3	19.3	17.6	15.5	14.7	14.3	13.9	12.6	11.9	10.6	08.5	07.2	06.3	05.6	05.4	05.7	06.3	06.6	07.5	08.1	08.1	08.3	07.4
22	29.5	26.2	24.3	22.8	22.2	21.3	20.6	21.0	20.9	20.9	20.2	18.2	16.4	12.9	11.0	11.4	10.6	08.3	07.1	05.7	03.9	03.2	03.4	03.9	04.5	05.3	06.2	06.5	07.3	08.1	08.0	08.2	07.3
23	30.9	27.8	25.1	23.2	22.5	21.6	21.6	21.8	22.2	22.2	21.0	19.4	17.6	14.8	12.9	13.2	12.5	10.1	08.9	07.6	05.1	04.1	03.6	03.9	04.6	05.3	06.2	06.6	07.4	08.2	08.0	08.2	07.3

L50 Contour Data, Winter (n = 206hrs)
Hr	12.5Hz	15.8Hz	20Hz	25Hz	31.5Hz	40Hz	50Hz	63Hz	80Hz	100Hz	125Hz	160Hz	200Hz	250Hz	315Hz	400Hz	500Hz	630Hz	800Hz	1000Hz	1250Hz	1600Hz	2000Hz	2500Hz	3150Hz	4000Hz	5000Hz	6300Hz	8000Hz	10000Hz	12500Hz	16000Hz	20000Hz
00	46.0	41.9	38.1	34.5	31.8	30.2	29.5	29.2	28.9	28.6	27.9	26.9	26.0	25.2	25.5	24.4	22.5	21.0	19.7	18.3	15.6	13.6	11.4	09.1	07.3	06.6	07.0	07.1	07.7	08.3	08.3	08.4	07.6
01	46.9	44.8	40.5	37.0	34.2	32.3	31.4	30.9	30.4	29.8	29.0	28.1	27.0	26.3	27.9	27.6	25.5	23.6	22.3	21.8	19.2	16.6	14.5	11.8	09.7	08.3	08.6	08.0	07.7	08.3	08.2	08.4	07.6
02	48.6	43.5	39.2	35.6	32.6	30.8	30.0	29.7	29.4	28.9	27.6	26.4	25.4	24.7	26.4	26.0	23.9	21.9	20.7	19.3	16.7	14.9	12.7	10.3	08.4	07.2	07.4	07.3	07.7	08.3	08.2	08.4	07.6
03	44.9	40.7	36.5	33.1	30.6	29.0	28.1	27.9	27.6	27.1	26.4	25.5	24.4	23.6	24.6	23.4	20.7	18.6	17.2	16.4	13.7	11.2	09.2	07.2	06.2	06.2	06.8	06.9	07.6	08.3	08.2	08.4	07.6
04	44.0	43.4	39.3	36.0	33.2	31.5	30.9	30.6	30.2	29.9	29.1	28.0	27.1	26.3	26.2	26.4	24.3	23.0	21.7	21.9	18.9	16.8	14.0	11.1	08.8	07.4	07.5	07.2	07.8	08.5	08.4	08.5	07.7
05	49.9	45.5	41.2	37.6	35.2	33.5	32.5	32.1	31.8	31.4	30.5	29.4	27.8	26.6	27.1	26.4	25.9	24.2	22.9	22.4	19.1	17.5	15.6	12.6	10.4	08.8	08.5	07.4	07.8	08.4	08.3	08.5	07.9
06	40.9	36.9	33.5	30.7	29.4	28.5	28.4	28.3	28.2	27.5	25.8	24.7	23.2	22.5	22.4	21.7	20.4	18.3	17.2	16.7	13.4	11.3	09.2	07.3	06.2	06.1	06.6	06.9	07.7	08.4	08.3	08.5	07.7
07	41.5	38.2	36.3	32.3	30.6	30.1	29.6	29.7	30.2	28.7	27.5	25.6	23.6	22.8	22.3	21.2	19.8	18.1	16.5	14.8	11.7	09.2	07.2	05.7	05.3	05.7	06.5	06.8	07.7	08.3	08.3	08.5	07.7
08	46.9	42.6	39.2	35.8	33.4	32.2	31.5	31.5	31.6	30.6	29.1	27.6	26.1	25.1	25.1	24.5	23.6	22.2	20.6	18.8	15.9	13.5	11.1	08.9	07.5	07.0	07.3	07.3	07.8	08.5	08.4	08.6	07.9
09	51.2	46.1	42.6	39.0	35.6	34.5	33.8	33.2	32.9	32.2	30.6	29.3	27.9	26.8	26.4	26.7	25.8	23.5	21.8	20.5	18.2	16.1	14.2	11.8	09.8	08.3	07.9	07.8	08.0	08.5	08.4	08.6	07.9
10	50.3	45.6	42.0	38.6	35.5	34.5	32.9	32.6	32.2	31.4	30.1	28.9	27.9	26.9	26.4	26.3	25.6	23.7	21.9	20.5	18.3	16.1	14.1	11.7	09.7	08.5	08.4	07.9	08.3	09.0	08.7	08.8	08.0
11	48.1	43.5	40.2	36.6	34.3	32.6	31.9	31.2	30.2	29.3	28.2	26.6	25.7	24.7	24.6	24.7	23.7	21.9	20.2	18.9	16.6	14.3	12.2	09.8	08.0	07.5	07.9	07.9	08.6	09.3	08.9	09.0	08.2
12	47.3	43.3	39.9	37.1	34.7	32.4	32.3	30.9	30.2	29.5	27.6	26.0	25.2	23.9	23.2	21.8	20.4	18.7	17.1	15.5	13.3	12.0	10.6	09.5	09.1	09.2	09.5	09.6	10.3	11.3	11.2	10.8	09.3
